feature,mean_abs_shap
Degrader_601_minus_Stable_430,0.42112663
Degrader_1090_minus_Stable_1238,0.4204016
Gene_SIRPB1,0.41631
Degrader_1382_minus_Stable_256,0.4141315
Gene_LINC00302,0.4134258
Gene_CA6,0.41156366
Gene_SIK1,0.40991005
Degrader_273_minus_Stable_430,0.40913013
Gene_RP11-561I11.3,0.40720642
Degrader_155_minus_Stable_1238,0.40262228
Degrader_1231_minus_Stable_530,0.40228692
Degrader_247_minus_Stable_1077,0.39902702
Degrader_1277_minus_Stable_1077,0.39813077
Degrader_190_minus_Stable_287,0.39642188
Gene_TDRD1,0.39395595
Gene_MARK2P13,0.3926693
Degrader_1382_minus_Stable_287,0.39219105
Gene_OR7C1,0.39135444
Gene_GUSBP3,0.3910012
Gene_LCE2A,0.38992393
Gene_CTD-3060P21.1,0.38934398
Degrader_301_minus_Stable_1252,0.38750243
Gene_RP11-459O16.8,0.38647333
Gene_LCE3C,0.38538527
Gene_CXCL2,0.38348117
Gene_RP11-680F20.9,0.37985668
Gene_SNCB,0.37836826
Gene_CH507-9B2.1,0.3775698
Gene_RP11-529A4.7,0.37659797
Gene_GXYLT1P5,0.37575582
Gene_CCL23,0.3755642
Gene_ASIC2,0.37519044
Gene_NEFM,0.373806
Degrader_454_minus_Stable_1238,0.37246105
Gene_SELE,0.37025365
Gene_ACSM6,0.3701861
Degrader_123_minus_Stable_1077,0.36771938
Degrader_1481_minus_Stable_1065,0.36587813
Gene_ADCYAP1,0.3642931
Degrader_493_minus_Stable_856,0.3641269
Gene_KRT71,0.36367387
Ratio_mean,0.35949087
Degrader_1202_minus_Stable_439,0.3582738
Degrader_736_minus_Stable_1065,0.35717312
Degrader_366_minus_Stable_339,0.35637105
Gene_GKN1,0.3510174
Gene_RND1,0.35010487
Degrader_918_minus_Stable_666,0.34686178
Degrader_190_minus_Stable_1282,0.34647208
Gene_PCDH11Y,0.34279233
Degrader_1004_minus_Stable_530,0.34278935
Gene_RP11-707A18.1,0.34267768
Gene_NLRP2,0.3414225
Gene_C1orf68,0.3406384
Degrader_369_minus_Stable_51,0.34038806
Gene_UPK1B,0.33967778
Gene_GABRB3,0.33929002
Gene_SLC30A10,0.3344104
Degrader_454_minus_Stable_169,0.33430916
Gene_PNMT,0.3335676
Gene_COL11A1,0.33114615
Gene_REN,0.33047587
Gene_GDA,0.3304064
Gene_RP11-435J9.2,0.32993007
Gene_PKD1L2,0.32966375
Gene_CDH10,0.32916954
Gene_MT1JP,0.3288923
Degrader_1277_minus_Stable_1238,0.32593533
Gene_LCE5A,0.32538518
Gene_CCL4L2,0.3252743
Degrader_1382_minus_Stable_796,0.32483894
Degrader_992_minus_Stable_416,0.32410175
