feature,mean_abs_shap
Gene_MIR133A1HG,0.43362626
Gene_AC068138.1,0.431622
Gene_MYLK4,0.43147114
Degrader_379_minus_Stable_1475,0.43121263
Degrader_348_minus_Stable_1065,0.42863077
Gene_MASP1,0.42836708
Gene_RP11-701P16.2,0.42533988
Degrader_176_minus_Stable_814,0.42449474
Gene_LEFTY2,0.42398155
Gene_UNC13C,0.42226887
Gene_ZFY,0.42168558
Degrader_573_minus_Stable_27,0.41931847
Gene_LINC01348,0.4146868
Gene_RP4-680D5.2,0.41150406
Gene_LDHAP3,0.41128486
Degrader_802_minus_Stable_658,0.40601707
Gene_MTCO3P12,0.40351546
Degrader_855_minus_Stable_548,0.4033063
Gene_NFIA-AS2,0.40203148
Degrader_663_minus_Stable_729,0.39955485
Degrader_663_minus_Stable_766,0.39933652
Gene_EDA2R,0.39917377
Gene_CSF3,0.39834717
Degrader_422_minus_Stable_408,0.3979598
Degrader_1146_minus_Stable_1262,0.3976013
Gene_TRIM63,0.39725602
Gene_RP11-362K2.2,0.396323
Degrader_1324_minus_Stable_658,0.39418966
Degrader_1316_minus_Stable_766,0.39410678
Gene_ADORA3,0.39273524
Gene_CASP16P,0.39186567
Gene_LBP,0.38985503
Degrader_644_minus_Stable_256,0.38983324
Degrader_385_minus_Stable_729,0.3898097
Gene_RP5-934G17.6,0.38573387
Degrader_1316_minus_Stable_476,0.38558203
Gene_GYG2,0.38158247
RIN,0.38151783
Gene_SEPT3,0.38106322
Degrader_828_minus_Stable_1356,0.3784617
Degrader_1316_minus_Stable_1065,0.37660372
Degrader_57_minus_Stable_1262,0.3741372
Degrader_926_minus_Stable_1307,0.3741317
Degrader_447_minus_Stable_766,0.3738018
Gene_IGLV3-1,0.37320957
Gene_CELA3B,0.3729561
Gene_RP11-526F3.1,0.37144843
Degrader_308_minus_Stable_1262,0.3695647
Gene_RP11-958N24.2,0.36824465
Gene_RP11-544L8__B.4,0.36768025
Gene_CTA-221G9.12,0.36715215
Gene_RP11-10A14.5,0.36692068
Gene_KRT1,0.36615333
Gene_TATDN2P3,0.36531565
Degrader_1324_minus_Stable_1137,0.3649279
Degrader_855_minus_Stable_1491,0.3633145
Gene_LINC01267,0.3633076
Degrader_1324_minus_Stable_1362,0.36328572
Degrader_434_minus_Stable_27,0.36305988
Degrader_77_minus_Stable_256,0.36140805
Degrader_308_minus_Stable_548,0.36089912
Gene_SIK1,0.35916036
Gene_RP11-21L23.2,0.35859007
Gene_LRRC14B,0.35617116
Gene_IFITM10,0.3548524
Degrader_573_minus_Stable_1491,0.35484195
Gene_SOX3,0.35459363
Gene_LINC00337,0.3535628
Degrader_93_minus_Stable_476,0.3526599
Gene_CDH22,0.35168967
Gene_KRT17P5,0.35153696
Degrader_12_minus_Stable_101,0.35111588
Degrader_482_minus_Stable_476,0.3502738
