feature,mean_abs_shap
Degrader_1289_minus_Stable_528,0.43325096
Gene_SNORD3C,0.43184164
Gene_SFTPA1,0.42642456
Gene_FFAR4,0.425572
Degrader_421_minus_Stable_860,0.4252479
Gene_IRX6,0.41434023
Degrader_70_minus_Stable_982,0.41367567
Degrader_632_minus_Stable_766,0.412424
Gene_MUC6,0.4121968
Gene_IGKV5-2,0.40956104
Degrader_1134_minus_Stable_644,0.4080992
Degrader_447_minus_Stable_530,0.406638
Degrader_308_minus_Stable_955,0.4033491
Degrader_70_minus_Stable_1066,0.3993687
Gene_SPRR3,0.39799953
Degrader_33_minus_Stable_860,0.39533153
Gene_CHRNA1,0.39392492
Gene_RGPD2,0.39360982
Gene_HIST1H2BH,0.39050716
Gene_CHST4,0.39024183
Gene_IFNG,0.38822368
Degrader_447_minus_Stable_1464,0.38621554
Gene_TDGF1,0.38501582
Gene_ARHGEF38-IT1,0.3838623
Gene_RAD17P1,0.38275096
Degrader_108_minus_Stable_1178,0.38223863
Degrader_613_minus_Stable_860,0.38172016
Gene_MFAP5,0.38124573
Gene_RP11-22C11.2,0.38047168
Gene_RP11-283G6.4,0.37998977
Degrader_408_minus_Stable_807,0.3775703
Degrader_839_minus_Stable_807,0.37193063
Degrader_714_minus_Stable_982,0.37047762
Degrader_1215_minus_Stable_1043,0.3682443
Gene_C6orf223,0.3681086
Gene_MMP8,0.36802885
Gene_RP11-299H22.3,0.36665177
Degrader_1289_minus_Stable_1258,0.3639842
Gene_CCL8,0.361816
Degrader_598_minus_Stable_1178,0.36159056
RIN,0.35870972
Degrader_733_minus_Stable_807,0.35511845
Gene_SLC30A8,0.3546639
Degrader_921_minus_Stable_644,0.35450462
Gene_HOXC5,0.35449937
Degrader_1177_minus_Stable_982,0.35444072
Gene_RP11-676J12.6,0.3537727
Gene_ORM2,0.35034853
Gene_XIRP2,0.34270108
Degrader_353_minus_Stable_588,0.3422626
Degrader_1112_minus_Stable_1043,0.34147626
Degrader_135_minus_Stable_903,0.33485535
Gene_AC004947.2,0.3342081
Degrader_362_minus_Stable_766,0.33384958
Degrader_28_minus_Stable_766,0.33219394
Gene_ALPP,0.33071667
Gene_GRM7,0.32936114
Gene_CD300LG,0.32818696
Degrader_353_minus_Stable_1178,0.32766396
Degrader_447_minus_Stable_1043,0.3272631
Degrader_631_minus_Stable_1258,0.32419112
Gene_KCNE1B,0.32328928
Gene_IGHG3,0.32121423
Degrader_135_minus_Stable_807,0.31925622
Degrader_30_minus_Stable_1386,0.3188624
Gene_CPXM1,0.31617022
Degrader_322_minus_Stable_528,0.31584728
Degrader_631_minus_Stable_584,0.3155511
Gene_RP11-54H7.4,0.31405458
Degrader_1335_minus_Stable_807,0.3140317
Gene_PROM1,0.31348896
Gene_P2RX2,0.31255105
Degrader_413_minus_Stable_588,0.31211615
Gene_RP11-63E9.1,0.3116181
Gene_XIST,0.31104943
Gene_GYPA,0.31101325
Degrader_1328_minus_Stable_584,0.3101387
Degrader_1328_minus_Stable_644,0.30795637
Gene_RP11-114G11.5,0.30651507
Gene_TPSD1,0.30510667
Degrader_425_minus_Stable_778,0.3048638
Degrader_1134_minus_Stable_1178,0.304094
Gene_RPL10P9,0.29980567
Gene_IGLV10-54,0.29967844
Gene_PI16,0.29894367
Degrader_227_minus_Stable_816,0.29820368
Degrader_447_minus_Stable_982,0.29750586
Degrader_413_minus_Stable_530,0.2974296
Degrader_940_minus_Stable_807,0.2971017
Gene_CRISP3,0.29670224
Degrader_362_minus_Stable_431,0.2966497
Gene_LHFPL3-AS2,0.29641193
Degrader_631_minus_Stable_1495,0.29640737
Gene_HBD,0.29389948
Gene_WFDC12,0.2936208
Degrader_543_minus_Stable_176,0.292886
Gene_IFIT1B,0.29274237
Degrader_733_minus_Stable_1044,0.29241803
Degrader_362_minus_Stable_816,0.29240954
Degrader_447_minus_Stable_584,0.29068387
Degrader_921_minus_Stable_816,0.29031456
Gene_KRT16P1,0.28931496
Gene_IGKV2-40,0.2888766
Gene_HBA1,0.288317
Degrader_1112_minus_Stable_1186,0.28796178
Degrader_155_minus_Stable_528,0.28719172
Degrader_1177_minus_Stable_1186,0.2871413
Gene_TCN1,0.28704304
Degrader_156_minus_Stable_778,0.28659508
RIN_squared,0.28544644
Degrader_893_minus_Stable_982,0.28440234
Gene_LRRC15,0.2843661
Gene_APLN,0.28382963
Gene_OR6K3,0.2838127
Degrader_160_minus_Stable_1178,0.28337345
Degrader_447_minus_Stable_1178,0.28334683
Degrader_166_minus_Stable_1043,0.2816866
Gene_SHISA2,0.28161585
Gene_LYPD2,0.28124434
Gene_CTSG,0.28037193
Gene_CELA3A,0.27966392
Gene_IGHM,0.27945897
Gene_IGHE,0.2780618
Gene_RP11-403B2.6,0.27424937
Gene_PSAT1,0.2739972
Degrader_714_minus_Stable_1044,0.27336147
Degrader_1112_minus_Stable_431,0.27320322
Degrader_362_minus_Stable_1178,0.27312416
Degrader_733_minus_Stable_431,0.27283624
Gene_SERPINB7,0.27185038
Degrader_317_minus_Stable_530,0.27032977
Degrader_1112_minus_Stable_1044,0.26994503
Degrader_613_minus_Stable_1178,0.2683233
Gene_DPRX,0.26698694
Degrader_162_minus_Stable_807,0.26676443
Degrader_408_minus_Stable_588,0.2651224
Degrader_1476_minus_Stable_955,0.263995
Gene_RP3-342P20.2,0.26355642
Gene_MUC7,0.26312345
Degrader_554_minus_Stable_807,0.26193264
Gene_RP11-64C12.3,0.26177207
Degrader_408_minus_Stable_431,0.2597173
Degrader_985_minus_Stable_807,0.25906277
Degrader_1177_minus_Stable_901,0.2582467
Degrader_1328_minus_Stable_1386,0.25667733
Gene_IGHJ2,0.25665736
Degrader_543_minus_Stable_584,0.2566355
Degrader_322_minus_Stable_807,0.2566003
Degrader_492_minus_Stable_1386,0.25566083
Gene_RP13-497K6.1,0.2551507
Gene_TIFAB,0.25480488
Gene_DMBT1,0.25455034
Gene_MYL1,0.25272784
Gene_HOXC9,0.25171682
Gene_ECEL1,0.25148663
Degrader_135_minus_Stable_1464,0.24975766
Gene_LINC00551,0.24970183
Degrader_408_minus_Stable_766,0.24918787
Gene_CKM,0.24760254
Degrader_492_minus_Stable_584,0.2474245
Gene_CYP1A2,0.24692713
Degrader_714_minus_Stable_1178,0.24639814
Gene_MMP12,0.24584205
Gene_AC092071.1,0.24560887
Gene_PI15,0.24497119
Gene_RP11-14C10.3,0.24474634
Gene_TTC39A,0.24136755
Gene_PLA2G4E,0.24043062
Gene_SLC4A1,0.2404262
Gene_RP11-34P13.14,0.24012175
Degrader_524_minus_Stable_588,0.23993535
Degrader_250_minus_Stable_1178,0.23982193
Gene_CASP14,0.23904099
Gene_DNASE2B,0.23886387
Gene_RP3-340B19.3,0.2375057
Gene_BPIFB2,0.23710003
Gene_IGLV7-43,0.23676863
Gene_RHD,0.23480539
Gene_COL11A1,0.23478638
Gene_AGAP7P,0.2339496
Degrader_61_minus_Stable_1386,0.23332895
Gene_PNLIPRP1,0.23306684
Degrader_631_minus_Stable_903,0.23296466
Degrader_733_minus_Stable_1495,0.23157384
Gene_CTD-3080P12.3,0.22963867
Degrader_160_minus_Stable_528,0.2281837
Degrader_295_minus_Stable_901,0.2279359
Gene_FAM19A4,0.22753102
Gene_GTF2A1L,0.22740854
Degrader_1215_minus_Stable_1258,0.2266628
Degrader_733_minus_Stable_1066,0.22634713
Degrader_317_minus_Stable_1186,0.22557928
Gene_PLA2G2D,0.22487806
Gene_CHIAP2,0.22427045
Gene_TRBV28,0.22326674
Degrader_447_minus_Stable_644,0.22276482
Degrader_1134_minus_Stable_588,0.22209916
Degrader_337_minus_Stable_982,0.22175348
Gene_RNASE3,0.22128922
Gene_RP11-212I21.3,0.22051887
Gene_CFAP57,0.21947533
Degrader_1215_minus_Stable_1044,0.21806571
Gene_SLITRK6,0.21792261
Gene_C6,0.21598737
Gene_LRRTM4,0.2151425
Gene_LINC01235,0.21497706
Degrader_693_minus_Stable_644,0.21472187
Gene_PLA2G4D,0.21373594
Gene_AGBL1,0.21367748
Gene_SIX3,0.21352543
Degrader_833_minus_Stable_530,0.21339113
Gene_PBK,0.21301599
Gene_CCL2,0.2129743
Gene_PKD1L2,0.21274304
Gene_MMP7,0.21237393
Gene_UGT2B7,0.21176362
Degrader_809_minus_Stable_431,0.21158499
Degrader_447_minus_Stable_528,0.21137755
Gene_PRSS21,0.21111369
Degrader_44_minus_Stable_982,0.21067682
Gene_MMP1,0.20994356
Degrader_809_minus_Stable_816,0.20994335
Ratio_min,0.20941855
Gene_ALAS2,0.20908155
Gene_CTC-573N18.1,0.20855483
Gene_HSPA1A,0.20805389
Gene_CXCL11,0.2067388
Degrader_631_minus_Stable_588,0.20654179
Gene_ATP6V0A4,0.20619507
Gene_IGLC7,0.20579025
Degrader_524_minus_Stable_1464,0.20565982
Gene_CBSL,0.20551808
Degrader_1289_minus_Stable_431,0.20542632
Degrader_1476_minus_Stable_1495,0.20536731
Gene_MT1A,0.2051746
Gene_CTD-2303H24.2,0.2050483
Gene_RP11-333A23.4,0.20500368
Gene_LUZP2,0.20381384
Gene_CKMT1A,0.20343778
Degrader_155_minus_Stable_1386,0.20311531
Degrader_413_minus_Stable_1178,0.20305005
Degrader_631_minus_Stable_860,0.20109488
Gene_KRT16P3,0.20059924
Gene_NTSR1,0.1999156
Degrader_155_minus_Stable_431,0.19962804
Degrader_250_minus_Stable_982,0.19943833
Gene_OLAH,0.19916056
Gene_ZCCHC12,0.19897753
Degrader_940_minus_Stable_1464,0.19863126
Gene_CTD-3247F14.2,0.1983146
Degrader_337_minus_Stable_816,0.19748266
Gene_HSPA1B,0.19719715
Degrader_155_minus_Stable_176,0.19714157
Degrader_608_minus_Stable_1386,0.19707225
Gene_PALM3,0.19644564
Gene_NEURL3,0.19643037
Degrader_671_minus_Stable_860,0.1961702
Gene_IGHV3-30,0.19616172
Gene_RP11-10N16.2,0.19614352
Degrader_447_minus_Stable_1066,0.19548999
Degrader_893_minus_Stable_903,0.1951647
Degrader_968_minus_Stable_1186,0.1948589
Gene_KRT14,0.19467804
Gene_RHOV,0.19466293
Gene_CCL11,0.19458218
Degrader_968_minus_Stable_1258,0.19439127
Degrader_28_minus_Stable_1186,0.19438191
Degrader_693_minus_Stable_1386,0.19409548
Gene_ZNF114,0.1932613
Gene_DDX3Y,0.19221579
Degrader_1280_minus_Stable_530,0.19180495
Gene_IL1A,0.19179809
Degrader_631_minus_Stable_1015,0.19086482
Degrader_308_minus_Stable_1464,0.19065696
Degrader_317_minus_Stable_1178,0.1906186
Gene_RP11-76C10.6,0.19060501
Degrader_985_minus_Stable_1386,0.19051582
Gene_MCIDAS,0.18976246
Degrader_421_minus_Stable_1260,0.1887564
Gene_C8B,0.18872713
Degrader_493_minus_Stable_431,0.18842104
Degrader_632_minus_Stable_431,0.18828292
Gene_CPA2,0.18769473
Gene_THY1,0.18694006
Gene_MMP13,0.18690036
Gene_IGHV1-69-2,0.18660842
Degrader_976_minus_Stable_588,0.18641394
Gene_CTD-3116E22.8,0.18613786
Degrader_70_minus_Stable_901,0.185983
Degrader_61_minus_Stable_528,0.1854829
Degrader_322_minus_Stable_1044,0.18522601
Gene_RP11-27G14.4,0.18512318
Degrader_337_minus_Stable_901,0.184823
Gene_IGLV3-12,0.18474479
Gene_SIK1,0.18394758
Gene_FAM106A,0.18249545
Gene_LGI3,0.18215103
Degrader_353_minus_Stable_778,0.18168135
Degrader_598_minus_Stable_588,0.18157902
Autolysis,0.18109274
Degrader_162_minus_Stable_903,0.18084297
Degrader_554_minus_Stable_431,0.18083957
Degrader_1177_minus_Stable_1464,0.1801665
Gene_CH17-118O6.6,0.18014172
Degrader_598_minus_Stable_530,0.1799039
Degrader_84_minus_Stable_176,0.17944485
Gene_UGT2B4,0.17913726
Degrader_227_minus_Stable_1178,0.17890272
Gene_RP3-465N24.5,0.1782862
Gene_RP11-1099M24.9,0.17823333
Gene_ANKRD1,0.17731205
Degrader_337_minus_Stable_778,0.17721342
Degrader_671_minus_Stable_1413,0.1767721
Gene_ZNF385B,0.1761208
Gene_IGHV1-3,0.1761204
Degrader_24_minus_Stable_1260,0.1760954
Gene_ADCY8,0.17594834
Gene_MEOX1,0.17485575
Gene_KIR2DS4,0.17428574
Gene_PPBP,0.17417257
