feature,mean_abs_shap
Gene_MKRN3,0.45920396
Degrader_660_minus_Stable_1422,0.45876548
Gene_PM20D1,0.4585687
Gene_RND1,0.45472613
Gene_TUSC5,0.45050976
Degrader_172_minus_Stable_1220,0.44810915
Gene_RP11-54A9.1,0.44679466
Gene_KIF25-AS1,0.44099084
Gene_SFRP2,0.44070494
Degrader_810_minus_Stable_776,0.43748498
Gene_CX3CR1,0.4364546
Gene_IGKV1-27,0.43504342
Gene_CTSG,0.43096527
Gene_SHISA9,0.42945632
Degrader_55_minus_Stable_1204,0.42881233
Gene_NUTM2E,0.42564783
Gene_KLK8,0.41817975
Degrader_1164_minus_Stable_1235,0.40725124
Gene_PLIN1,0.40406558
Gene_ZBTB16,0.4006932
Gene_RPL10P9,0.39949033
Gene_HIST1H1D,0.3963445
Gene_MRAP,0.395822
Gene_AMPD1,0.39559892
Gene_PHGR1,0.3944495
Gene_MYLPF,0.3941707
Degrader_1157_minus_Stable_223,0.3933664
Gene_AGAP14,0.39265352
Gene_DLGAP5,0.38805443
Degrader_507_minus_Stable_871,0.38755316
Gene_SUCNR1,0.38533336
Degrader_663_minus_Stable_551,0.3846758
Gene_RD3,0.37904146
Degrader_507_minus_Stable_797,0.3786309
Degrader_23_minus_Stable_142,0.3775324
Degrader_891_minus_Stable_1204,0.3757183
Gene_FPR2,0.3751146
Degrader_409_minus_Stable_19,0.3746095
Gene_HMGCS2,0.3717799
Degrader_1139_minus_Stable_223,0.37127727
Degrader_23_minus_Stable_223,0.37075835
Gene_PCSK2,0.3707414
Degrader_978_minus_Stable_1235,0.36956155
Degrader_510_minus_Stable_34,0.3686489
Degrader_1173_minus_Stable_871,0.36833185
Degrader_1291_minus_Stable_871,0.36808255
Degrader_1486_minus_Stable_776,0.36621186
Degrader_245_minus_Stable_871,0.362417
Degrader_55_minus_Stable_776,0.35907072
Degrader_350_minus_Stable_1422,0.35886866
Degrader_663_minus_Stable_223,0.3566321
Degrader_466_minus_Stable_1422,0.35211307
Gene_CCL21,0.3518206
Degrader_507_minus_Stable_102,0.35010982
Gene_LINC00648,0.3492949
Degrader_511_minus_Stable_1204,0.34924027
Degrader_409_minus_Stable_365,0.34848282
Gene_ULBP1,0.34811208
Degrader_74_minus_Stable_776,0.34758168
Degrader_694_minus_Stable_102,0.3474086
Gene_IGHG4,0.34511018
Gene_CDC37P1,0.3450128
Gene_IL1B,0.3439481
Gene_PAX1,0.34309754
Degrader_955_minus_Stable_223,0.34278587
Gene_RP11-309M23.1,0.3403823
Degrader_459_minus_Stable_138,0.3378889
Gene_PROK1,0.3367481
Gene_STK19B,0.3365844
Gene_ETNPPL,0.3362586
Degrader_459_minus_Stable_1226,0.33580795
Degrader_247_minus_Stable_1422,0.33574763
Degrader_245_minus_Stable_1220,0.33505386
Gene_FFAR4,0.33243337
Degrader_169_minus_Stable_249,0.33108622
Degrader_507_minus_Stable_109,0.33025575
Degrader_1444_minus_Stable_142,0.33007735
Degrader_399_minus_Stable_1204,0.33000213
Gene_RP11-429A20.3,0.3284998
Degrader_1157_minus_Stable_1220,0.32756644
Age,0.32570884
Degrader_124_minus_Stable_1161,0.32531306
Gene_RP11-525K10.3,0.324902
Degrader_1304_minus_Stable_1204,0.32441545
Gene_PLA2G2A,0.324084
Degrader_765_minus_Stable_142,0.32370174
Degrader_898_minus_Stable_1204,0.32213256
Degrader_1173_minus_Stable_102,0.3206782
Degrader_810_minus_Stable_1235,0.31847617
Gene_SERF1A,0.3184256
Degrader_55_minus_Stable_1146,0.3168889
Gene_CA1,0.31575513
Degrader_737_minus_Stable_1220,0.31485325
Gene_SLC2A14,0.3135769
Degrader_1164_minus_Stable_1128,0.30820084
Gene_TMEM229A,0.30707827
Gene_RNASE3,0.3047429
Degrader_169_minus_Stable_223,0.30448613
Gene_RP11-554D14.8,0.30418023
Gene_GABRR1,0.3015825
Degrader_511_minus_Stable_1429,0.3013754
Degrader_123_minus_Stable_807,0.3003956
Gene_AC131056.3,0.29972497
Degrader_1015_minus_Stable_1422,0.2986628
Degrader_245_minus_Stable_1204,0.29851854
Gene_RP11-775D22.2,0.2984316
Degrader_245_minus_Stable_807,0.29687074
Degrader_187_minus_Stable_102,0.29513586
Gene_AMBP,0.2946114
Gene_REG1B,0.2926065
Gene_IGKV1-12,0.2922206
Degrader_123_minus_Stable_223,0.29203033
Gene_RP11-298D21.3,0.28973547
Degrader_1492_minus_Stable_34,0.28939372
Gene_FCGR3B,0.28919056
Degrader_1033_minus_Stable_1235,0.28901204
Degrader_134_minus_Stable_807,0.28762224
Degrader_663_minus_Stable_1422,0.28691435
Degrader_1225_minus_Stable_102,0.2861811
Degrader_1150_minus_Stable_19,0.2859287
Gene_HES5,0.28513706
Degrader_978_minus_Stable_9,0.28464472
Degrader_1383_minus_Stable_19,0.2842302
Gene_RP5-961K14.1,0.28249562
Degrader_1492_minus_Stable_19,0.2817229
Gene_C2orf91,0.2817164
Gene_FCER1A,0.28091973
Degrader_247_minus_Stable_797,0.28041482
Gene_IGLV3-21,0.277719
Gene_RP11-195E2.1,0.276482
Degrader_765_minus_Stable_551,0.27627572
Degrader_898_minus_Stable_102,0.27534938
Gene_ELAVL4,0.27501962
Degrader_134_minus_Stable_365,0.27147684
Degrader_466_minus_Stable_244,0.26931557
Gene_HBD,0.2686365
Gene_PSPHP1,0.26783952
Gene_MYH7,0.26783878
Degrader_891_minus_Stable_365,0.26750293
Gene_IGKJ3,0.26746342
Degrader_510_minus_Stable_465,0.26701996
Degrader_466_minus_Stable_871,0.26498184
Gene_OSTN,0.26456198
Degrader_1157_minus_Stable_1204,0.2635077
Degrader_663_minus_Stable_797,0.26341593
Gene_ALX1,0.26234987
Gene_OR7E158P,0.26059908
Gene_SCN4A,0.2600544
Degrader_510_minus_Stable_223,0.259757
Gene_RP6-24A23.3,0.25959602
Degrader_978_minus_Stable_1220,0.2591373
Gene_DAPL1,0.25780994
Degrader_1150_minus_Stable_1429,0.25741208
Gene_PRR31,0.25703853
Degrader_399_minus_Stable_365,0.25643212
Gene_AC068282.3,0.25612125
Gene_ACTA1,0.2536155
Gene_AC004057.1,0.25210485
Degrader_172_minus_Stable_1429,0.25108543
Degrader_1136_minus_Stable_1235,0.2508463
Gene_IGKV1-5,0.24998099
Degrader_1001_minus_Stable_871,0.24856807
Degrader_511_minus_Stable_9,0.24828495
Gene_CTD-2571E19.3,0.24812801
Degrader_775_minus_Stable_1220,0.24736878
Degrader_1225_minus_Stable_19,0.24725251
Degrader_409_minus_Stable_1235,0.24569313
Degrader_55_minus_Stable_551,0.24527965
Degrader_511_minus_Stable_244,0.24505176
Gene_TBC1D3L,0.2449582
Degrader_775_minus_Stable_178,0.24436617
Degrader_765_minus_Stable_365,0.24422063
Degrader_511_minus_Stable_365,0.24287327
Gene_SMILR,0.24266611
Gene_MMP7,0.2424591
Gene_LINC01168,0.24212697
Gene_GPR1,0.24206655
Gene_TBC1D3E,0.24030511
Gene_CTC-321K16.1,0.23965962
Degrader_1444_minus_Stable_1226,0.23938419
Degrader_1015_minus_Stable_223,0.2385425
Gene_RP11-347E10.1,0.2365308
Gene_NOL4,0.23607434
Gene_MUC20P1,0.23526843
Gene_FOLR3,0.235196
Degrader_955_minus_Stable_797,0.234356
Degrader_511_minus_Stable_797,0.23412395
Gene_OR1E1,0.23360826
Degrader_660_minus_Stable_807,0.23322119
Gene_AMER2,0.23306128
Gene_IGKV2-24,0.23295651
Stable_mean,0.2329353
Gene_CH507-513H4.5,0.23257332
Gene_CACNA1S,0.23193625
Degrader_399_minus_Stable_1429,0.22963968
Degrader_898_minus_Stable_9,0.22908601
Gene_EIF2S3L,0.22888613
Gene_CTD-2008L17.2,0.22797029
Degrader_891_minus_Stable_1146,0.22657649
Gene_ACSM6,0.22609809
Gene_RP11-632C17__A.1,0.22545281
Gene_NSFP1,0.22541422
Degrader_920_minus_Stable_223,0.22519441
Degrader_1157_minus_Stable_19,0.22433354
Gene_IGHG2,0.22411196
Degrader_55_minus_Stable_109,0.22330555
Degrader_1291_minus_Stable_365,0.22211012
Gene_CBLN2,0.22158475
Degrader_996_minus_Stable_138,0.22138196
Degrader_616_minus_Stable_776,0.22086006
Gene_ESM1,0.22080107
Degrader_1157_minus_Stable_1235,0.22057417
Gene_RP11-47I22.2,0.22033013
Degrader_409_minus_Stable_465,0.21979997
Gene_MOGAT2,0.2181174
Gene_AC091801.1,0.21753298
Gene_C2CD4B,0.21663545
Degrader_1033_minus_Stable_1220,0.2164364
Degrader_616_minus_Stable_1226,0.21642947
Degrader_282_minus_Stable_102,0.21627927
Degrader_574_minus_Stable_871,0.2155709
Degrader_1164_minus_Stable_871,0.21505661
Degrader_495_minus_Stable_278,0.21498777
Degrader_898_minus_Stable_1146,0.21446455
Degrader_731_minus_Stable_289,0.21434456
Gene_RUFY4,0.21330287
Degrader_1164_minus_Stable_365,0.2126368
Gene_IGLV4-69,0.21169244
Gene_LRRC38,0.21035759
Degrader_1383_minus_Stable_244,0.21022229
Degrader_206_minus_Stable_1422,0.2096172
Gene_RP11-238F2.1,0.20930421
Gene_RP3-340B19.3,0.20903374
Degrader_811_minus_Stable_249,0.20742692
Degrader_172_minus_Stable_1204,0.20730935
Gene_HS3ST3A1,0.20708673
Degrader_616_minus_Stable_1429,0.20666564
Degrader_245_minus_Stable_19,0.20572509
Gene_LINC01638,0.20571977
Degrader_466_minus_Stable_19,0.20546333
Gene_PRRT4,0.20508824
Gene_SULT1C2,0.20493156
Degrader_172_minus_Stable_933,0.20471238
Gene_ADGRA1,0.20459187
Gene_AMY2A,0.20428978
Degrader_955_minus_Stable_551,0.20417367
Gene_GSTT2,0.20416477
Gene_MYL1,0.20364375
Degrader_1150_minus_Stable_9,0.20348914
Gene_RP11-459O16.8,0.20328388
Degrader_955_minus_Stable_9,0.2030148
Degrader_574_minus_Stable_1235,0.20275274
Gene_AC073130.1,0.20250851
Degrader_1173_minus_Stable_19,0.20189147
Gene_CCDC144A,0.20138864
Gene_ANKRD22,0.20131855
Degrader_989_minus_Stable_871,0.20108637
Degrader_996_minus_Stable_933,0.20105575
Gene_TNN,0.20090167
Degrader_172_minus_Stable_1161,0.20058006
Gene_IL1R2,0.20044164
Gene_FABP4,0.19984241
Degrader_1486_minus_Stable_278,0.1991757
Degrader_533_minus_Stable_1220,0.19916883
Gene_BOD1L2,0.19902714
Gene_AC034243.1,0.19805418
Degrader_405_minus_Stable_797,0.19793656
Degrader_1150_minus_Stable_1204,0.19791771
Degrader_507_minus_Stable_244,0.19723842
Degrader_377_minus_Stable_289,0.19670266
Gene_FOLH1B,0.19634749
Gene_ANKRD20A4,0.196318
Gene_CCL3,0.19583844
Gene_LINC01356,0.19550821
Gene_AC104135.2,0.195082
Degrader_996_minus_Stable_1146,0.19431572
Gene_CNTNAP2,0.19371912
Gene_CLSTN2-AS1,0.1936826
Gene_RP11-248N22.1,0.19342531
Degrader_694_minus_Stable_223,0.19278781
Gene_AC093390.1,0.19206135
Gene_PRG4,0.19198778
Degrader_574_minus_Stable_1422,0.19099325
Gene_TFAP2B,0.19089235
Gene_CH507-9B2.1,0.19067022
Gene_CALCA,0.19052444
Degrader_55_minus_Stable_138,0.18994159
Gene_HIST1H2BH,0.18992844
Gene_RP11-495L19.1,0.18974806
Degrader_123_minus_Stable_19,0.18909052
Gene_IGHV2-70,0.18891351
Degrader_1136_minus_Stable_1204,0.18863112
Gene_HIST1H2BF,0.18793145
Degrader_245_minus_Stable_244,0.18788029
Gene_FSTL4,0.18699703
Gene_ACTC1,0.18649423
Gene_RP11-439I14.1,0.18616833
Gene_CXCL9,0.18586177
Gene_ADCYAP1,0.18580687
Degrader_829_minus_Stable_1235,0.18558767
Gene_ABCB11,0.18556724
Degrader_1304_minus_Stable_1128,0.18524723
Degrader_1444_minus_Stable_1429,0.1847095
Gene_CCKBR,0.18413822
Degrader_810_minus_Stable_551,0.18402275
Gene_RP11-138B4.1,0.18372434
Gene_LINC01644,0.18269198
Degrader_290_minus_Stable_807,0.18211336
Gene_HLA-V,0.18126972
Degrader_55_minus_Stable_933,0.1808659
RIN,0.18080589
Gene_CLEC20A,0.18044144
Degrader_1492_minus_Stable_244,0.18039356
Degrader_557_minus_Stable_102,0.1803588
Degrader_1001_minus_Stable_933,0.1800923
Degrader_989_minus_Stable_1422,0.17998597
Gene_ASPN,0.17949544
Degrader_405_minus_Stable_19,0.17902607
Gene_LINC01561,0.17864752
Gene_AKR1B15,0.1784115
Gene_G0S2,0.17830484
Gene_MMP9,0.17785956
Degrader_405_minus_Stable_1161,0.17764494
Degrader_1150_minus_Stable_109,0.17736052
Degrader_1001_minus_Stable_365,0.17715186
Gene_RP11-76E17.4,0.17706032
Degrader_1225_minus_Stable_1235,0.17690463
Gene_PRND,0.17685613
Degrader_720_minus_Stable_871,0.17683217
Gene_RP11-263K4.3,0.17676167
Degrader_1150_minus_Stable_807,0.17673995
Gene_SPINK1,0.17625304
Gene_CHRNA1,0.17617278
Gene_C17orf99,0.17614533
Gene_CSF3,0.17588308
Degrader_957_minus_Stable_1204,0.17526342
Degrader_1486_minus_Stable_465,0.17445183
Degrader_495_minus_Stable_289,0.17434558
Degrader_23_minus_Stable_933,0.17413042
Degrader_511_minus_Stable_551,0.1735672
Degrader_510_minus_Stable_776,0.17354693
Gene_HORMAD1,0.17336923
Degrader_1173_minus_Stable_776,0.17319025
Degrader_350_minus_Stable_1220,0.17277236
Gene_FAM83B,0.17242733
Degrader_552_minus_Stable_1429,0.17184047
Gene_RP11-389G6.3,0.17160441
Degrader_898_minus_Stable_223,0.17080681
Gene_CGA,0.17068638
Degrader_810_minus_Stable_289,0.17037462
Degrader_829_minus_Stable_223,0.17013824
Gene_AADACL2,0.16997553
Degrader_1304_minus_Stable_249,0.16988628
Degrader_1173_minus_Stable_1422,0.16971579
Gene_UQCRFS1P1,0.1693315
Degrader_312_minus_Stable_138,0.16925587
Gene_CTD-2228K2.1,0.1692316
Gene_C1orf68,0.16899501
Gene_RP11-333A23.4,0.16870429
Degrader_533_minus_Stable_278,0.16848013
Degrader_245_minus_Stable_1128,0.16827121
Gene_OR6B3,0.16781095
Gene_LRRC77P,0.16770872
Degrader_290_minus_Stable_244,0.16750607
Gene_SLCO1B7,0.16722278
Degrader_978_minus_Stable_223,0.16716893
Gene_KRT27,0.16700274
Gene_ALOX15B,0.16695267
Degrader_74_minus_Stable_1235,0.16604505
Degrader_74_minus_Stable_1204,0.1659963
Gene_RP11-404O13.5,0.1656929
Gene_GALNT15,0.16520336
Gene_CFHR3,0.164924
Degrader_1157_minus_Stable_776,0.1649208
Gene_IGKV2-29,0.16444968
Degrader_510_minus_Stable_551,0.16408484
Gene_PLD4,0.16385183
Degrader_1225_minus_Stable_1422,0.16385132
Gene_SLC34A2,0.16344218
Degrader_989_minus_Stable_109,0.1633602
Degrader_282_minus_Stable_289,0.16297352
Degrader_619_minus_Stable_551,0.16289875
Gene_SMPX,0.16252409
Degrader_1304_minus_Stable_1220,0.16237754
Gene_RP11-161D15.3,0.16228664
Degrader_978_minus_Stable_109,0.16224772
Degrader_1225_minus_Stable_1128,0.16177905
Degrader_1486_minus_Stable_244,0.16123503
Gene_ART1,0.16118069
Degrader_1304_minus_Stable_9,0.16116779
Degrader_1492_minus_Stable_776,0.16057822
Degrader_619_minus_Stable_1422,0.1605755
Gene_LINC00278,0.16036645
Degrader_1492_minus_Stable_1220,0.16034225
Gene_ABCC13,0.16012399
Degrader_737_minus_Stable_1161,0.15967834
Degrader_493_minus_Stable_776,0.15953596
Gene_GSDMC,0.15938038
Gene_KCNA4,0.15896864
Degrader_720_minus_Stable_223,0.15885173
Gene_RP11-717F1.2,0.15869404
Gene_HAP1,0.15862748
Gene_AP000350.5,0.15858394
Degrader_350_minus_Stable_551,0.15809567
Degrader_282_minus_Stable_109,0.15780813
Degrader_23_minus_Stable_249,0.15757793
Gene_CTD-2227C6.2,0.15722881
Degrader_245_minus_Stable_223,0.15712826
Gene_PIGR,0.15701912
Degrader_957_minus_Stable_1220,0.15679637
Gene_KRT6A,0.15585554
Gene_GAL,0.1557662
Gene_MS4A2,0.15531142
Degrader_1164_minus_Stable_109,0.15526102
Degrader_664_minus_Stable_1161,0.15497339
Gene_MUC7,0.15459123
Gene_KLK2,0.15455623
Gene_NPIPB2,0.15420303
Degrader_510_minus_Stable_102,0.1540348
Degrader_920_minus_Stable_1220,0.15373987
Gene_OPALIN,0.15365927
Degrader_510_minus_Stable_1204,0.15337662
Degrader_115_minus_Stable_551,0.1530725
Degrader_399_minus_Stable_1220,0.15299381
Gene_LINC01484,0.15271173
Gene_GKN1,0.15185569
Gene_S100A9,0.15175639
Degrader_510_minus_Stable_249,0.15133208
Degrader_245_minus_Stable_776,0.15132536
Gene_CCL3L3,0.15089016
RIN_squared,0.15085776
Gene_IRS4,0.1506119
Gene_LINC00403,0.14964503
Degrader_989_minus_Stable_797,0.14945996
Degrader_1150_minus_Stable_1235,0.14939599
Gene_MYL2,0.14939089
Degrader_172_minus_Stable_871,0.1493114
Gene_CHRDL2,0.14867993
Degrader_1015_minus_Stable_138,0.14843799
Degrader_123_minus_Stable_178,0.14810044
Degrader_74_minus_Stable_1161,0.14771922
Gene_RP11-527D7.1,0.14761974
Degrader_282_minus_Stable_365,0.14751706
Gene_IGKJ5,0.14729415
Gene_IDO1,0.14633824
Gene_PCSK9,0.14629184
Gene_PAQR9,0.14627732
Gene_HLA-DPB2,0.1461954
Degrader_493_minus_Stable_551,0.145973
Degrader_172_minus_Stable_465,0.14586097
Gene_TG,0.14574672
Degrader_1291_minus_Stable_551,0.14535858
Degrader_619_minus_Stable_223,0.14528865
Gene_PNMT,0.14524595
Degrader_409_minus_Stable_1204,0.14511916
Degrader_1015_minus_Stable_278,0.14495695
Degrader_290_minus_Stable_19,0.14458348
Degrader_619_minus_Stable_1204,0.14454487
Degrader_409_minus_Stable_1429,0.14453068
Degrader_134_minus_Stable_1422,0.14412092
Degrader_459_minus_Stable_1146,0.14349204
Gene_HLA-S,0.14319183
Degrader_1492_minus_Stable_551,0.14294498
Degrader_405_minus_Stable_1429,0.14264378
Degrader_690_minus_Stable_807,0.14263459
Degrader_1157_minus_Stable_797,0.14262785
Degrader_616_minus_Stable_1235,0.14254446
Gene_C4orf45,0.14239232
Gene_bP-2171C21.6,0.14231217
Gene_RAB3B,0.14190967
Degrader_574_minus_Stable_223,0.14176252
Gene_RP11-1191J2.2,0.14168017
Degrader_206_minus_Stable_19,0.14161994
Gene_WIF1,0.14141384
Degrader_495_minus_Stable_551,0.14133427
Degrader_1150_minus_Stable_142,0.14121121
Gene_NPIPB15,0.14119336
Degrader_1291_minus_Stable_1235,0.14102557
Degrader_169_minus_Stable_1226,0.14040214
Gene_USP32P2,0.14032437
Gene_RP11-569G13.3,0.14011626
Gene_GSTA1,0.13998602
Gene_BCL2A1,0.13987635
Degrader_466_minus_Stable_776,0.13958184
Gene_GPR12,0.13916425
Gene_GLYAT,0.13889454
Gene_MUC2,0.13872594
Degrader_1444_minus_Stable_1220,0.13860302
Degrader_312_minus_Stable_178,0.13845642
Gene_HLA-DQA2,0.13839313
Gene_DCD,0.13831696
Degrader_957_minus_Stable_1128,0.13826577
Degrader_898_minus_Stable_138,0.13816595
Degrader_619_minus_Stable_1220,0.13797808
Degrader_660_minus_Stable_19,0.13794859
Gene_SLC17A6,0.13789308
Gene_IGLV1-44,0.13763173
Gene_AC093627.8,0.13749683
Degrader_493_minus_Stable_244,0.13715109
Gene_LINC01945,0.13708085
Degrader_765_minus_Stable_102,0.13697174
Gene_CXCL8,0.1364503
Gene_KCNQ2,0.13617183
Gene_ZG16B,0.13610025
Gene_SPON1,0.13564388
Degrader_1173_minus_Stable_1429,0.13508826
Degrader_946_minus_Stable_1128,0.13487455
Gene_TXLNGY,0.13438493
Degrader_663_minus_Stable_933,0.13424066
Gene_KRT16P6,0.134094
Gene_RP11-467L24.1,0.13372916
Degrader_312_minus_Stable_1161,0.13355014
Degrader_533_minus_Stable_1422,0.13351908
Gene_IGKV1-39,0.13328189
Degrader_459_minus_Stable_797,0.13319142
Degrader_775_minus_Stable_1226,0.13315223
Degrader_664_minus_Stable_807,0.13289505
Degrader_1168_minus_Stable_797,0.13233353
Degrader_957_minus_Stable_1146,0.13227148
Gene_GPX1P1,0.13206361
Degrader_737_minus_Stable_244,0.13184997
Gene_TOP3BP1,0.13159578
Gene_MT1G,0.13148783
Degrader_1383_minus_Stable_1235,0.13136388
Gene_DLK1,0.1311507
Gene_HLA-U,0.1309267
Gene_MMD2,0.1308461
Degrader_557_minus_Stable_1422,0.13070562
Degrader_115_minus_Stable_807,0.13016248
Degrader_409_minus_Stable_1128,0.12994722
Degrader_290_minus_Stable_1235,0.12973773
Gene_CTD-2023N9.1,0.12972796
Gene_CIDEA,0.129677
Gene_RASGRF1,0.12965174
Gene_CCL15,0.12948558
Gene_LINC00922,0.12943146
Gene_AP000350.6,0.12880626
Degrader_694_minus_Stable_289,0.12840413
Gene_RP5-1021I20.2,0.1283115
Degrader_557_minus_Stable_365,0.12824966
Gene_RP11-259O2.2,0.12764734
Ratio_std,0.12758127
Gene_HBA2,0.12757629
Degrader_720_minus_Stable_807,0.12728392
Degrader_493_minus_Stable_289,0.12699082
Gene_ATE1-AS1,0.12695205
Degrader_955_minus_Stable_871,0.12687474
Gene_C1QL2,0.12648343
