fold,r2,mae_days,mae_hours,selected_taxa,n_features
1,0.48855029870644007,3.518435735896507,84.44245766151617,608,1239
2,0.47056334923081533,3.5446845963210807,85.07243031170594,612,1247
3,0.4171344485775855,3.6243092458245196,86.98342189978847,634,1291
4,0.35854346689843986,3.911774071561675,93.8825777174802,610,1243
5,0.6674045304567426,2.7944472380128844,67.06673371230923,614,1251
