fold,n_train,n_validation,train_donors,validation_donors,selected_taxa,ensemble_r2,ensemble_mae_days,ensemble_mae_hours
1,1467,343,22,5,608,0.9425745634857877,0.9504144738472764,22.809947372334634
2,1464,346,22,5,612,0.9678245586056007,0.8375997988840332,20.1023951732168
3,1417,393,21,6,634,0.9200147162362674,1.1072638010065694,26.574331224157667
4,1424,386,21,6,610,0.9631099110819626,0.8907650502423266,21.378361205815835
5,1468,342,22,5,614,0.9473176457328609,1.1460323084731086,27.504775403354607
